Level,Specialty,Section,Type,Content,HasBlurb,ShowCommentsAlways,Order
4,Uveitis,F,Criterion,CbDs,FALSE,TRUE,4
4,Uveitis,F,Criterion,Multi-assessor report,FALSE,TRUE,5
4,Medical Retina,A,LearningOutcome,"MR4.4 - Be an effective supervisor, teacher and trainer of medical retina disease management.",FALSE,FALSE,1
4,Medical Retina,A,LearningOutcome,"MR4.3 - Apply management and team working skills appropriately, including in complex, dynamic situations.",FALSE,FALSE,2
4,Medical Retina,A,LearningOutcome,MR4.2 - Manage the complexity and uncertainty of medical retina disease cases.,FALSE,FALSE,3
4,Medical Retina,A,LearningOutcome,MR4.1 - Demonstrate advanced clinical management and practical skills.,FALSE,FALSE,4
4,Medical Retina,B,Criterion,CRS1 Consultation skills in medical retina,FALSE,TRUE,1
4,Medical Retina,C,Criterion,Independent management of the medical retina clinic,TRUE,TRUE,1
4,Medical Retina,C,Criterion,Advanced interpretation of multi modal imaging,TRUE,TRUE,2
4,Medical Retina,C,Criterion,Use of appropriate pharmacological and laser therapies,TRUE,TRUE,3
4,Medical Retina,C,Criterion,Indirect laser and subthreshold laser treatment,TRUE,TRUE,4
4,Medical Retina,C,Criterion,Photodynamic therapy,TRUE,TRUE,5
4,Medical Retina,C,Criterion,Order appropriate genetic testing and interpret results,TRUE,TRUE,6
4,Medical Retina,F,Criterion,Ability to supervise and train trainees in intravitreal injections and laser techniques up to Level 3 and other health professional in a clinic setting,FALSE,TRUE,1
4,Medical Retina,F,Criterion,Longitudinal observation by consultant assessor in the outpatient and/or on call setting,FALSE,TRUE,2
4,Medical Retina,F,Criterion,Review of personal audit of treatment outcomes,FALSE,TRUE,3
4,Medical Retina,F,Criterion,Review of record keeping and letters,FALSE,TRUE,4
4,Medical Retina,F,Criterion,CbDs,FALSE,TRUE,5
4,Medical Retina,F,Criterion,Multi-assessor report,FALSE,TRUE,6
4,Vitreoretinal Surgery,A,LearningOutcome,"VR4.4 - Be an effective supervisor, teacher and trainer of vitreoretinal disease management.",FALSE,FALSE,1
4,Vitreoretinal Surgery,A,LearningOutcome,"VR4.3 - Apply management and team working skills appropriately, including in complex, dynamic situations.",FALSE,FALSE,2
4,Vitreoretinal Surgery,A,LearningOutcome,VR4.2 - Manage the complexity and uncertainty of vitreoretinal disease cases.,FALSE,FALSE,3
4,Vitreoretinal Surgery,A,LearningOutcome,VR4.1 - Demonstrate advanced clinical management and surgical skills.,FALSE,FALSE,4
4,Vitreoretinal Surgery,B,Criterion,CRS1 Consultation skills in vitreoretinal surgery,TRUE,TRUE,1
4,Vitreoretinal Surgery,C,Criterion,Independent management of vitreoretinal clinic,TRUE,TRUE,1
4,Vitreoretinal Surgery,C,Criterion,Management of endophthalmitis,TRUE,TRUE,2
4,Vitreoretinal Surgery,C,Criterion,Indirect laser to the retina,TRUE,TRUE,3
4,Vitreoretinal Surgery,C,Criterion,Ability to supervise and train trainees in vitreoretinal surgery to Level 3 and other health professional in a clinic setting,TRUE,TRUE,4
4,Vitreoretinal Surgery,D,Criterion,OSATS Cataract surgery,FALSE,TRUE,1
4,Vitreoretinal Surgery,D,Criterion,OSATS Microsurgical skills - vitreoretinal surgery,FALSE,TRUE,2
4,Vitreoretinal Surgery,D,Criterion,EPA L4 Managing a vitreoretinal operating list,FALSE,TRUE,3
4,Vitreoretinal Surgery,E,Criterion,Complex cataract surgery,TRUE,TRUE,1
4,Vitreoretinal Surgery,E,Criterion,Management of complications of cataract surgery,TRUE,TRUE,2
4,Vitreoretinal Surgery,E,Criterion,Supervise and provide objective assessment of other surgical competency at Level 3 (e.g. WpBAs),TRUE,TRUE,3
4,Vitreoretinal Surgery,F,Criterion,Longitudinal observation by consultant assessor in the outpatient and/or on call setting,FALSE,TRUE,1
4,Vitreoretinal Surgery,F,Criterion,Longitudinal observation by consultant assessor in the theatre and simulation setting,FALSE,TRUE,2
4,Vitreoretinal Surgery,F,Criterion,Review of record keeping and letters,FALSE,TRUE,3
4,Vitreoretinal Surgery,F,Criterion,Review of logbook,FALSE,TRUE,4
4,Vitreoretinal Surgery,F,Criterion,Review of personal audit of surgical outcomes,FALSE,TRUE,5
4,Vitreoretinal Surgery,F,Criterion,CbDs,FALSE,TRUE,6
4,Vitreoretinal Surgery,F,Criterion,Multi-assessor report,FALSE,TRUE,7
